,Country,University,Website
104,Argentina,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,www.barcelo.edu.ar
105,Argentina,Instituto Universitario de Estudios Navales y Marítimos,www.inun.edu.ar
106,Argentina,Instituto Universitario de la Policia Federal,www.universidad-policial.edu.ar
107,Argentina,Instituto Universitario Nacional del Arte,www.iuna.edu.ar
108,Argentina,Universidad Abierta Interamericana,www.vaneduc.edu.ar
109,Argentina,Universidad Adventista del Plata,www.uapar.edu
110,Argentina,Universidad Argentina de la Empresa,www.uade.edu.ar
111,Argentina,"Universidad Argentina ""John F. Kennedy""",www.kennedy.edu.ar
112,Argentina,Universidad Atlantida Argentina,www.atlantida.edu.ar
113,Argentina,Universidad Austral Buenos Aires,www.austral.edu.ar
114,Argentina,Universidad Autónoma de Entre Ríos,www.uader.edu.ar
115,Argentina,Universidad Blas Pascal,www.ubp.edu.ar
116,Argentina,"Universidad CAECE, Buenos Aires",www.caece.edu.ar
117,Argentina,Universidad Católica Argentina Santa Maria de los Buenos Aires,www.uca.edu.ar
118,Argentina,Universidad Católica de Córdoba,www.uccor.edu.ar
119,Argentina,Universidad Católica de Cuyo,www.uccuyo.edu.ar
120,Argentina,Universidad Católica de La Plata,www.ucalp.edu.ar
121,Argentina,Universidad Católica de Salta,www.ucasal.edu.ar
122,Argentina,Universidad Católica de Santa Fé,www.ucsf.edu.ar
123,Argentina,Universidad Católica de Santiago del Estero,www.ucse.edu.ar
124,Argentina,Universidad Champagnat,www.uch.edu.ar
125,Argentina,Universidad de Belgrano,www.ub.edu.ar
126,Argentina,Universidad de Bologna - Representación en Buenos Aires,www.unibo.edu.ar
127,Argentina,Universidad de Buenos Aires,www.uba.ar
128,Argentina,Universidad de Ciencias Empresariales y Sociales,www.uces.edu.ar
129,Argentina,Universidad de Concepción del Uruguay,www.ucu.edu.ar
130,Argentina,Universidad de Congreso,www.ucongres.edu.ar
131,Argentina,Universidad de Flores - Buenos Aires,www.uflo.edu.ar
132,Argentina,Universidad del Aconcagua,www.uda.edu.ar
133,Argentina,Universidad de la Cuenca del Plata,www.ucp.edu.ar
134,Argentina,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),www.ufasta.edu.ar
135,Argentina,Universidad de la Marina Mercante,www.udemm.edu.ar
136,Argentina,Universidad del Centro Educativo Latinoamericano Rosario,www.ucel.edu.ar
137,Argentina,Universidad del Cine - Buenos Aires,www.ucine.edu.ar
138,Argentina,Universidad del Museo Social Argentino,www.umsa.edu.ar
139,Argentina,"Universidad del Norte ""Santo Tomás de Aquino""",www.unsta.edu.ar
140,Argentina,Universidad del Salvador,www.salvador.edu.ar
