keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
phd in Languages,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Leadership & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Linguistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,56
phd in Marketing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Mathematical Methods,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Mathematics & Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Medical Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Mental Health Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Music,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Natural Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Networking,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Neuroscience,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,52
phd in Nursing & Healthcare Practice,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Pathology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Philosophy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Physics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Politics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Primary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Professional Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Project Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Psychology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Psychology & Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Pure Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Religious Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Research & Study Skills In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Retail Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Secondary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Social Care,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Social Policy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Social Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Social Work,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Sociology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Software Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Spanish,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Sport & Fitness,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Strategic Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Teacher Training,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Technology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in UK Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
phd in Youth Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
