keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
bachelor's degree in History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Human Anatomy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Human Computer Interaction,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in International Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Italian,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Languages,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Leadership & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Linguistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Marketing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Mathematical Methods,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Mathematics & Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Medical Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Mental Health Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Music,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Natural Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Networking,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Neuroscience,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Nursing & Healthcare Practice,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Pathology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Philosophy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Physics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Politics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Primary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Professional Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Project Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Psychology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Psychology & Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Pure Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Religious Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Research & Study Skills In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Retail Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Secondary Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Social Care,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Social Policy,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Social Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Social Work,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Sociology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Software Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Spanish,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Sport & Fitness,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Statistics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Strategic Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Teacher Training,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Technology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in UK Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
bachelor's degree in Youth Studiesmaster's degree in Academic Studies In Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Accounting,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Adult Nursing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Applied Mathematics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Aquatic Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Archaeology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Art History,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Arts & Humanities,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Astronomy & Planetary Science,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
