University,Country,rank,inv_rank
Kentucky State University,USA,55,0.18707482993197277
University of Advancing Technology (UAT),USA,275,0.18676861274279988
"City University of New York, York College",USA,111,0.1856060606060606
University of the Pacific,USA,883,0.1853067288635654
Stonehill College,USA,470,0.18488424356886032
Heriot-Watt University,United Kingdom,548,0.1838554939549762
Bloomsburg University of Pennsylvania,USA,210,0.18334241400602955
Eindhoven University of Technology,Netherlands,654,0.18278917624060984
New York Medical College,USA,335,0.18273077562519555
University of Indianapolis,USA,769,0.18105913466122303
Linköping University,Sweden,481,0.1792696217162438
University of Windsor,Canada,601,0.17921279895876144
University of Twente,Netherlands,744,0.17847172125636476
University of Bologna,Italy,645,0.17744075389522493
University of the District of Columbia,USA,462,0.1772540366501393
Independence University,USA,429,0.17650656073554985
University of Hong Kong,Hong Kong,631,0.17635413155109678
Bryn Mawr College,USA,242,0.1760244576428482
Johann Wolfgang Goethe Universität Frankfurt am Main,Germany,1008,0.17580784275416053
Mount Mercy College,USA,652,0.1758032001932491
Arkansas State University,USA,756,0.1749041627592164
Missouri University of Science and Technology,USA,688,0.17418061603310375
King College,USA,397,0.173634692583751
Mount Ida College,USA,143,0.17338464005130672
Richard Stockton College of New Jersey,USA,556,0.17336580068522145
Goddard College,USA,67,0.17335164835164835
Hartford College for Women,USA,505,0.1728879514398613
Jomo Kenyatta University of Agriculture and Technology,Kenya,448,0.17142169893004156
Peking University,China,541,0.17139023666414954
Colorado School of Mines,USA,485,0.17134846099171813
Austin Peay State University,USA,638,0.17113612453279348
Shawnee State University,USA,483,0.16868435705713422
Athabasca University,Canada,631,0.16855807497977426
Miami Dade College,USA,577,0.1682692175541869
Tarleton State University,USA,481,0.16789423557104874
Augsburg College,USA,463,0.16725019437563993
Brescia University,USA,175,0.16688460281137624
Clayton College & State University,USA,6,0.16666666666666666
University of Southern Indiana,USA,792,0.16615207244254357
Southeastern Louisiana University,USA,558,0.16599601096503264
University of Latvia,Latvia,403,0.1653878839632923
Doane College,USA,269,0.16512331069666372
The Cooper Union for the Advancement of Science and Art,USA,187,0.16465501792114695
Mayo Graduate School,USA,219,0.16373337623337625
University of Sunderland,United Kingdom,226,0.1628392576675469
Chatham College,USA,655,0.1624428936356953
Middlesex University,United Kingdom,436,0.16172203553909342
Humboldt State University,USA,543,0.16125525818304276
Erasmus University Rotterdam,Netherlands,346,0.16079785014880474
Wilfrid Laurier University,Canada,428,0.15994496876484454
University of Bolton,United Kingdom,279,0.15979654564653215
Technical University of Denmark,Denmark,367,0.1596413149704911
University of Tasmania,Australia,276,0.15958113746157226
Pacific University,USA,520,0.15918296713942856
Missouri Baptist College,USA,389,0.15909427927898134
Tampere University of Technology,Finland,305,0.15879350175124823
"Davenport College of Business, Grand Rapids",USA,453,0.15827322319257803
Monmouth University,USA,753,0.15818310527559518
University of Verona,Italy,360,0.15686794583759558
Rheinisch Westfälische Technische Hochschule Aachen,Germany,800,0.15540903844714693
University of Northampton,United Kingdom,381,0.1553253990585968
University of Prince Edward Island,Canada,589,0.15528736268674034
Lawrence Technological University,USA,694,0.15527054332536455
Canisius College,USA,320,0.15524877316405247
Chicago State University,USA,473,0.15513427572357782
Virginia College,USA,26,0.15476190476190477
University of New Haven,USA,171,0.15438832497656027
Winthrop University,USA,236,0.15429398280655732
British University in Dubai,United Arab Emirates,95,0.1542207792207792
Shoreline Community College,USA,325,0.15263154906990525
Universität Regensburg,Germany,435,0.15247306219648996
South Dakota School of Mines and Technology,USA,393,0.15205784652472493
Southwestern Baptist Theological Seminary,USA,366,0.15138657653767393
Southeast Missouri State University,USA,551,0.15136283497664355
Georg-August Universität Göttingen,Germany,717,0.15102410668460348
University of New England,Australia,608,0.15078577079804034
Kennesaw State University,USA,708,0.15014189800988617
Youngstown State University,USA,413,0.14941804911007
Charles University Prague,Czech Republic,380,0.1491239434704809
Northeastern Illinois University,USA,730,0.14907462403111515
Rocky Mountain College of Art and Design,USA,122,0.14732905982905983
Louisiana State University at Alexandria,USA,202,0.14666688296940397
Bircham International University,Spain,574,0.14604706926626948
Texas A&M University - Corpus Christi,USA,400,0.14602541014024545
Andrews University,USA,237,0.14549521431543902
Mercer University,USA,518,0.14536662100309306
Hamline University,USA,350,0.1442730527587657
"European University, Athens Campus",Greece,366,0.14377612655516134
Black Hills State University,USA,173,0.14361157143613842
Wuhan University,China,192,0.14349724349724352
Royal lnstitute of Technology,Sweden,519,0.14343433385219612
IE University,Spain,300,0.14336163572017618
St. Thomas University,USA,7,0.14285714285714285
California Coast University,USA,96,0.14260912698412698
Grand Valley State University,USA,354,0.1423905253089736
Roosevelt University,USA,423,0.1419831086831195
Stratford University,USA,171,0.14136904761904762
Southern Oregon University,USA,526,0.14063409974569724
California Institute of Integral Studies,USA,544,0.1405306253361979
Western Washington University,USA,521,0.13999976672669076
Aston University,United Kingdom,392,0.1392576283365757
"The Maryland Institute, College of Art",USA,79,0.13908450704225353
University of Findlay,USA,599,0.1388128202908871
Radboud University of Nijmegen,Netherlands,376,0.13865792067011581
Polytechnic Institute of Milan,Italy,186,0.1378541160053765
Crown College,USA,451,0.13764505137455957
University of Oklahoma Health Sciences Center,USA,318,0.13623041496604715
St. Leo College,USA,426,0.13550043111450968
Zhejiang University,China,147,0.13536833536833537
John Cabot University,Italy,178,0.13478057889822595
University of Venice,Italy,536,0.13451519479500257
Tallinn University of Technology,Estonia,236,0.13393672537508156
Central Connecticut State University,USA,451,0.13392522368132123
Hong Kong University of Science and Technology,Hong Kong,651,0.1336067104729969
Australian Catholic University,Australia,189,0.13359938120495035
Argosy University,USA,215,0.13343068696009874
Bond University,Australia,310,0.13084103162712057
Wentworth Institute of Technology,USA,244,0.1307444280290135
Rowan University,USA,525,0.13071853183042323
University of Lethbridge,Canada,159,0.12974867106470658
South Dakota State University,USA,533,0.12955830654223713
St. Mary's University of San Antonio,USA,558,0.1292175393520446
Wayland Baptist University,USA,439,0.12919735214250513
Marymount University,USA,135,0.1286043112897333
Friends University,USA,679,0.12857674633387445
D'Youville College,USA,456,0.1272530657200858
Stetson University,USA,387,0.12710213498256975
Singapore Management University,Singapore,537,0.12662620990177129
"University of Toronto, Mississauga",Canada,595,0.12643208585085702
California College San Diego,USA,204,0.1263902321083172
Smith College,USA,420,0.1263861686429487
Universidade Nova de Lisboa,Portugal,247,0.12580291262564117
Mills College,USA,413,0.1256108158559148
"California State University, Stanislaus",USA,352,0.12557987023043105
"University of St. Thomas, St. Paul",USA,544,0.12556569759492528
Tiffin University,USA,207,0.12491875921425824
Rhode Island School of Design,USA,124,0.12472314507198226
Dominican College of San Rafael,USA,139,0.12401960784313724
University of Lancaster,United Kingdom,465,0.12395427830674946
Nottingham Trent University,United Kingdom,262,0.12235950176059071
Elon College,USA,235,0.12213901689708141
Hiram College,USA,156,0.12186517246543203
Dixie College,USA,320,0.1217060631591906
Mykolo Romerio university,Lithuania,83,0.12142857142857143
Mount Kenya University,Kenya,311,0.12115852477187768
Bauhaus Universität Weimar,Germany,470,0.1207615344677983
Nanyang Technological University,Singapore,467,0.12072306018954446
Universität Konstanz,Germany,419,0.12071318114809329
University of the Philippines Diliman,Philippines,686,0.12036419641610621
Bluefield College,USA,271,0.11981904138932839
Yeshiva University,USA,342,0.11973252907811639
John Carroll University,USA,239,0.11964638171534724
Rhode Island College,USA,564,0.11916903766770773
Medaille College,USA,370,0.11855010499933939
Buckinghamshire New University,United Kingdom,149,0.11598459012252116
Spalding University,USA,287,0.11591607565011822
Loyola College in Maryland,USA,598,0.11515286437999461
College of Charleston,USA,298,0.11337146687878855
Tongji University,China,441,0.1127097063313609
Universität des Saarlandes,Germany,230,0.11194209686725724
Bahria University,Pakistan,293,0.11182752341458631
Tennessee State University,USA,599,0.11175558083665935
University of Tennessee - Chattanooga,USA,618,0.11128036044528378
Guilford College,USA,9,0.1111111111111111
MCI-Management Center Innsbruck,Austria,481,0.11088818665178399
Schiller International University,USA,245,0.11065449896108265
Université Panthéon-Sorbonne (Paris I),France,164,0.10925081813931745
Our Lady of the Lake University,USA,250,0.10921894132474755
University of Dallas,USA,243,0.10869357452525728
Keck Graduate Institute of Applied Life Sciences,USA,83,0.10855683269476372
La Sierra University,USA,283,0.10772475307359028
Eastern College,USA,289,0.10759549233822868
Southern University - Baton Rouge,USA,257,0.10716876899149752
Western Carolina University,USA,509,0.106717846466207
Sauder School of Business,Canada,102,0.10647666597323348
Drake University,USA,368,0.1061500630681698
Louisiana State University Health Sciences Center New Orleans,USA,152,0.10608638207817414
Midwestern State University,USA,638,0.10559155665162889
Université de Cergy-Pontoise,France,393,0.10528095877849573
University of Padua,Italy,359,0.10516438215287022
James Cook University of North Queensland,Australia,489,0.10509762170564309
Lake Superior State University,USA,508,0.10494404580395823
University of Dayton,USA,273,0.10482676352241568
California Baptist College,USA,477,0.10449105919042277
Elmhurst College,USA,486,0.10442940091934753
Royal Roads University,Canada,130,0.10435729847494553
Regis College,USA,39,0.10427807486631016
University of Plymouth,United Kingdom,395,0.1039243001099232
Cork Institute of Technology,Ireland,397,0.10370363415039119
Sonoma State University,USA,489,0.10288570670642436
State University of New York College at Fredonia,USA,321,0.10233289600852655
Idaho State University,USA,380,0.10231353376445716
Belhaven College,USA,307,0.10206014223871367
Technische Universität Graz,Austria,484,0.10136846047870056
Manhattan School of Music,USA,351,0.10084184769804845
City University,USA,243,0.10053314065907545
University of the Incarnate World,USA,437,0.10036143829339571
Universidad Politécnica de Madrid,Spain,301,0.10028464226875793
Beth-El College of Nursing and Health Sciences,USA,648,0.10016389997719394
Lincoln University Missouri,USA,10,0.1
"City University of New York, Brooklyn College",USA,168,0.09950990927211202
United Nations University,Japan,283,0.0980073725763381
Cardinal Stritch University,USA,164,0.09767732739939206
Copenhagen Business School,Denmark,264,0.09647952971382513
Fairfield University,USA,192,0.09641136376990422
Kwame Nkrumah University of Science and Technology,Ghana,213,0.09559200157604412
"Fairleigh Dickinson University, Florham-Madison Campus",USA,361,0.09494410602007966
Hampshire College,USA,45,0.09453781512605042
"Concordia University, Mequon",USA,179,0.0943949774547356
National University of Science and Technology,Pakistan,43,0.09429824561403508
"University of the West of England, Bristol",United Kingdom,431,0.09390217354367902
Southwestern College Santa Fe,USA,444,0.0938567026427867
Monterey Institute of International Studies,USA,279,0.09350757846998449
"Trinity International University (Excel), Miami",USA,166,0.0931578947368421
Trent University,Canada,473,0.09284835629983075
Felician College,USA,543,0.0926876287304595
University of Minnesota - Duluth,USA,44,0.09263157894736843
The Queen's University Belfast,United Kingdom,468,0.09255910305606047
"University of Wales, Aberystwyth",United Kingdom,302,0.09240687381672036
University of Turin,Italy,424,0.09184008479783126
University of Montevallo,USA,411,0.09166090085917518
Chaminade University of Honolulu,USA,347,0.09129689754689754
Galway Mayo Institute of Technology,Ireland,191,0.09129206650787751
Universidad de Murcia,Spain,11,0.09090909090909091
Acadia University,Canada,203,0.09054462694168577
University of Wollongong,Australia,311,0.09047643026433286
Mercyhurst College,USA,182,0.09022538308252592
Touro College,USA,463,0.08957792708232686
College of Notre Dame of Maryland,USA,114,0.08895336342144852
Vermont Law School,USA,45,0.08893280632411067
University of Tromsø,Norway,310,0.08892713184696668
Kutztown University of Pennsylvania,USA,420,0.08863208200221948
Valdosta State University,USA,572,0.08784240774921453
Bradley University,USA,122,0.08769841269841269
Pacific Oaks College,USA,306,0.0870841192201498
Lipscomb University,USA,326,0.0870638222112662
University of Pecs,Hungary,221,0.08691863691863691
St. Edwards University,USA,578,0.08592802201636521
Benedictine University,USA,234,0.08528898535921008
Murdoch University,Australia,327,0.08516677593023025
"Indian Institute of Technology, Bombay",India,332,0.0843126702915904
Oral Roberts University,USA,121,0.0839451242120875
Universidad de Alicante,Spain,218,0.08361313500990497
Green Mountain College,USA,12,0.08333333333333333
Polytechnic Institute of Turin,Italy,339,0.08321900528892097
Oulu Polytechnic,Finland,110,0.08307724252491694
University of Wisconsin - Whitewater,USA,464,0.08285661226419005
Institute of Social Studies,Netherlands,213,0.08275728131396581
University of Alaska - Anchorage,USA,447,0.08256406197750703
London School of Business & Finance,United Kingdom,238,0.08251871833360767
University of Berne,Switzerland,308,0.08245221169334492
Lubbock Christian University,USA,318,0.082411602157608
College of St. Catherine,USA,225,0.08204140456956477
Holy Spirit University of Kaslik,Lebanon,138,0.08180957947176533
Montreat College,USA,122,0.08179271708683473
University of Wisconsin - Oshkosh,USA,216,0.08148661969259975
New York Institute of Technology,USA,233,0.08143227300292188
Gannon University,USA,464,0.08102056171359755
Adams State College,USA,116,0.08046584530145076
University of Nebraska - Kearney,USA,124,0.08030197905309412
Universität Mannheim,Germany,351,0.07992571113259377
Valparaiso University,USA,348,0.07991483064049908
University of Tulsa,USA,349,0.07935783259118427
Carthage College,USA,187,0.0792250233426704
Fisk University,USA,220,0.07879927090453406
The University of Nottingham Ningbo China,China,320,0.07857811621457741
Prescott College,USA,337,0.07851514655638367
Pittsburg State University,USA,214,0.07842257300744256
Palm Beach State College,USA,475,0.07748416430647243
University of Texas Southwestern Medical Center at Dallas,USA,493,0.07706664872123872
Portland Community College,USA,341,0.07702880408137158
Tallinn University,Estonia,362,0.07690952948035078
School of Education Pisa,Italy,243,0.07687095121877731
University of Sheffield,United Kingdom,246,0.07672900172900173
Golden Gate University,USA,357,0.0765881588362635
Technische Universität Chemnitz,Germany,477,0.0764685885123565
Milwaukee School of Engineering,USA,491,0.07613089487867788
King Abdullah University of Science and Technology ,Saudi Arabia,228,0.07609485484845255
University of Wisconsin - Green Bay,USA,362,0.07581910203732238
Open University of Hong Kong,Hong Kong,53,0.0757142857142857
Hong Kong Baptist University,Hong Kong,222,0.07535375548221795
University of Winnipeg,Canada,344,0.0753335484843725
Ottawa University,USA,225,0.07467627090577911
New Mexico Highlands University,USA,121,0.07445054945054945
"Indian Institute of Technology, Kanpur",India,234,0.07418979919468387
Loyola University of Chicago,USA,371,0.07388003982080638
University of Dundee,United Kingdom,241,0.07348484848484849
Texas Christian University,USA,272,0.07332614949203883
Kenyatta University,Kenya,275,0.07308754432712389
"Royal College of Music, University of London",United Kingdom,497,0.07286810615481515
"International Islamic University, Islamabad",Pakistan,141,0.07272640791476408
National Hispanic University,USA,124,0.07270636340403783
MGH Institute of Health Professions,USA,199,0.07254976064499874
The Juilliard School,USA,172,0.07212595370490107
Grenoble Ecole de Management,France,238,0.07183304505394943
University of Notre Dame Australia,Australia,368,0.0714528892160471
University of Genoa,Italy,14,0.07142857142857142
Molloy College,USA,388,0.07059240322837358
Park College,USA,65,0.07034632034632035
University of Southern Denmark,Denmark,263,0.06993581131512167
Manhattanville College,USA,129,0.0697926104902849
Indira Gandhi National Open University,India,259,0.069772579597141
Northwestern State University of Louisiana,USA,131,0.06965741251455537
Universität Vienna,Austria,257,0.06935785495107528
College of Osteopathic Medicine of the Pacific (Western University of Health Sciences),USA,81,0.06876061120543293
Prairie View Agricultural and Mechanical University,USA,293,0.06859392946000806
Medical College of Wisconsin,USA,242,0.068408057179987
Hood College,USA,161,0.06800213675213675
University of Evansville,USA,151,0.06799924213717318
Universidad de Oviedo,Spain,144,0.06791121112929624
University of North Alabama,USA,239,0.06790489707912575
University of Ljubljana,Slovenia,162,0.0678987678987679
University of Cape Coast,Ghana,133,0.06767676767676768
Universität Passau,Germany,378,0.06742899996080391
Université de Liège,Belgium,267,0.06719331472620946
University of Management & Technology,USA,15,0.06666666666666667
Mississippi University for Women,USA,183,0.06639933166248956
"City University of New York, John Jay College of Criminal Justice",USA,384,0.06599903164513429
Rivier College,USA,276,0.06582531076241355
Justus Liebig Universität Gießen,Germany,394,0.06578984290586104
Thompson Rivers University,Canada,246,0.06544539314387664
International Higher School for Advanced Studies Trieste,Italy,156,0.06461504296281112
Universität Innsbruck,Austria,273,0.06421719579614316
State University of New York College at Brockport,USA,141,0.06418026418026418
Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France,106,0.06412583182093164
University of Johannesburg,South Africa,264,0.06412193023538514
Jacksonville State University,USA,161,0.06408450704225352
Dominican University,USA,146,0.0640727835849787
"Sofia University ""St. Kliment Ohridski""",Bulgaria,395,0.06399946456825552
De Montfort University Leicester,United Kingdom,267,0.06391527212422735
Philadelphia College of Osteopathic Medicine,USA,92,0.06388888888888888
Oklahoma Christian University,USA,292,0.06347019789074534
Georgia College & State University,USA,258,0.06331168831168832
State University of New York College at Geneseo,USA,113,0.06326987681970885
Daemen College,USA,261,0.06324175824175823
University of Saskatchewan,Canada,276,0.06300775468512226
Caldwell College,USA,199,0.06300066093853271
Cranfield University,United Kingdom,97,0.062987012987013
Framingham State College,USA,155,0.062489949506319746
Universidad Complutense de Madrid,Spain,155,0.06208865660085172
University of Luxemburg,Luxembourg,66,0.06203007518796992
Tokyo University,Japan,280,0.06182659932659933
University of Venda,South Africa,174,0.061732456140350875
Urbana University,USA,263,0.061658662441756204
Bogazici University,Turkey,174,0.061159420289855077
Taylor's University College,Malaysia,304,0.060222558451170846
University of New Brunswick,Canada,280,0.06019256565031213
University of Gloucestershire,United Kingdom,292,0.06004676809620865
Capital University,USA,71,0.05976430976430976
"Institute of Advanced Legal Studies, University of London",United Kingdom,272,0.05908553489889106
University of Bristol,United Kingdom,17,0.058823529411764705
North Carolina Agricultural and Technical State University,USA,17,0.058823529411764705
Worcester Polytechnic Institute,USA,182,0.05850770440436094
Northwest Nazarene University,USA,154,0.05847576766555679
University College of Borås,Sweden,154,0.05847576766555679
Swedish University of Agricultural Sciences,Sweden,76,0.05846153846153847
Glasgow School of Art,United Kingdom,162,0.058421298587058114
MacEwan University,Canada,116,0.0581453634085213
Beloit College,USA,69,0.05798319327731093
University of South Africa,South Africa,195,0.057683982683982685
United States Military Academy,USA,158,0.057357315807679
Oberlin College,USA,440,0.057345892697228354
College of St. Rose,USA,285,0.05730827659460162
Université Paris Sud (Paris XI),France,175,0.05714285714285714
Moscow State University,Russia,108,0.05708245243128964
Fudan University,China,444,0.05639083876093036
Cumberland University,USA,71,0.05634920634920634
"Institue of Technology, Tralee",Ireland,303,0.05631731021801943
Lock Haven University of Pennsylvania,USA,18,0.05555555555555555
Ecole Supérieure de Commerce de Lyon,France,293,0.05543973927857365
University of Illinois at Urbana-Champaign,USA,178,0.055408669539104324
Laurentian University of Sudbury,Canada,299,0.055027717608782646
Antioch University Los Angeles,USA,291,0.05500535940146205
California Lutheran University,USA,184,0.05475655664399659
Lillehammer University College,Norway,293,0.05473850049716486
Albert-Ludwigs-Universität Freiburg,Germany,297,0.05426380576986244
University of KwaZulu-Natal,South Africa,315,0.05370168743063426
St. Joseph College of Nursing,USA,187,0.05365402405180389
Amrita Vishwa Vidyapeetham (Deemed University),India,177,0.053637186204574624
College of Mount St. Joseph,USA,173,0.053496732026143794
Loughborough University,United Kingdom,170,0.053468272554923604
Sul Ross State University,USA,305,0.053438330764933054
International Medical University,Malaysia,169,0.05332481391803426
St. Ambrose University,USA,171,0.0530114430468204
Christopher Newport University,USA,327,0.05284539859500968
UNESCO-IHE Institute for Water Education,Netherlands,19,0.05263157894736842
Truman State University,USA,19,0.05263157894736842
Fontys University of Applied Sciences,Netherlands,193,0.05242630385487529
Augustana College,USA,176,0.05236465655444568
Staffordshire University,United Kingdom,197,0.05234748912546033
Providence College,USA,182,0.05233465311774688
Wagner College,USA,210,0.05213903743315508
Elms College,USA,120,0.05208333333333333
Oklahoma State University - Institute of Technology,USA,182,0.05198461150842103
Willamette University,USA,77,0.05195681511470985
University of Birmingham,United Kingdom,192,0.051767812388113135
De La Salle University,Philippines,177,0.051672157332534684
Albany Law School,USA,184,0.05165603590833924
Abilene Christian University,USA,185,0.05151260504201681
State University of New York College of Agriculture and Technology at Cobleskill,USA,201,0.05144996075748123
Clarion University,USA,315,0.05121869981561887
Waynesburg College,USA,314,0.051161612540922885
Mount Sinai School of Medicine,USA,193,0.05114069759378684
Wilson College,USA,79,0.05103359173126615
Beijing Language and Culture University,China,177,0.050857198519384375
Louisiana State University in Shreveport,USA,185,0.05081699346405229
Thomas College Maine,USA,202,0.050467341408107956
Universidad de Quintana Roo,Mexico,189,0.05046651934476832
Slippery Rock University,USA,188,0.050146886530155456
"Concordia College, Seward",USA,81,0.05
Humber College,Canada,20,0.05
Mount St. Mary College,USA,212,0.049884916264226614
Free International University of Social Studies,Italy,115,0.04969749351771824
University of Stavanger,Norway,328,0.049411169348272124
Vanguard University of Southern California,USA,207,0.04895295467584625
University of Milan,Italy,330,0.048884992978147364
Central European University,Hungary,82,0.04880952380952381
Masaryk University,Czech Republic,332,0.04849580161175088
William Paterson University,USA,83,0.04819976771196283
University of Ferrara,Italy,194,0.04799568229118131
Minneapolis College of Art and Design,USA,190,0.04793664527603528
University of Basel,Switzerland,119,0.04790660225442834
Kyoto University,Japan,192,0.047835497835497835
Gwynedd-Mercy College,USA,197,0.04768018018018018
Kendall College,USA,189,0.04762704813108039
Algonquin College,Canada,342,0.04755346954835446
St. Xavier University,USA,195,0.04734848484848485
Union University,USA,213,0.047202136668620935
Aoyama Gakuin University,Japan,213,0.047202136668620935
"Indian Institute of Technology, Hyderabad",India,340,0.04708129692183555
École des Hautes Études Commerciales,Canada,85,0.04706533776301218
South Carolina State University,USA,341,0.046985796213943776
Avila College,USA,194,0.04674249562525239
Virginia State University,USA,108,0.046153846153846156
Florida Southern College,USA,208,0.045927318295739344
Lincoln University Pennsylvania,USA,197,0.045730413377472204
Fresno Pacific University,USA,201,0.04571609058075502
Colorado Mountain College,USA,209,0.04542353683180806
"Indian Institute of Technology, Guwahati",India,200,0.045028884159318945
West Chester University of Pennsylvania,USA,215,0.04501516070345664
Newschool of Architecture and Design,USA,212,0.044909678858162355
University of Abertay Dundee,United Kingdom,96,0.04444444444444444
City University of Hong Kong,Hong Kong,361,0.04436632694920672
Universiti Putra Malaysia,Malaysia,221,0.044180161943319834
Belmont University,USA,226,0.04409660155638241
Atilim University,Turkey,91,0.044003868471953575
Asia E University,Malaysia,91,0.043961352657004835
Columbia International University,USA,91,0.043961352657004835
Mississippi College,USA,208,0.043949154209284025
Hollins University,USA,210,0.04389436547271088
Drew University,USA,209,0.04386637458926615
Hebrew University of Jerusalem,Israel,235,0.043670255183413074
Shanghai International Studies University,China,207,0.04348435026184387
Muskingum College,USA,23,0.043478260869565216
University of Wisconsin - Platteville,USA,210,0.0431154176521115
Russel Sage College,USA,213,0.04304525329193261
Jiwaji University,India,93,0.04301572617946346
Brickfields Asia College,Malaysia,93,0.04301572617946346
La Salle University,USA,99,0.04270923209663503
East Central University,USA,229,0.04234706616729089
British Columbia Institute of Technology,Canada,123,0.04223901098901099
St. Paul University,Canada,95,0.04210992907801418
University of Lausanne,Switzerland,214,0.042080272649063596
German University in Cairo,Egypt,219,0.04201247020769493
Warner Pacific College,USA,107,0.0418622848200313
Alabama Agricultural and Mechanical University,USA,228,0.04172581376550147
Jacksonville University,USA,24,0.041666666666666664
Norwegian University of Life Sciences,Norway,24,0.041666666666666664
Maharishi University of Management,USA,24,0.041666666666666664
Kansas State University,USA,24,0.041666666666666664
"CollegeAmerica, Phoenix",USA,230,0.04115343419467131
Bayerische Julius-Maximilians-Universität Würzburg,Germany,220,0.040920852359208525
Tsinghua University,China,98,0.04083333333333333
"Royal Academy of Music, University of London",United Kingdom,107,0.04080854309687262
Marygrove College,USA,100,0.04079967360261118
John Brown University,USA,99,0.04040816326530612
Nicholls State University,USA,99,0.04040816326530612
St. Joseph's College New York,USA,99,0.04040816326530612
University of Cagliari,Italy,223,0.04040803184638801
"University of Nottingham, Malaysia Campus",Malaysia,229,0.04033613445378151
St. Cloud State University,USA,226,0.04027272078246591
Central Methodist College,USA,25,0.04
University of Colombo,Sri Lanka,25,0.04
Dakota State University,USA,25,0.04
University of Northern British Columbia,Canada,226,0.0399647266313933
University of Colorado Health,USA,228,0.03992541634818057
"University of St. Thomas, Houston",USA,229,0.03990150050630581
Touro University,USA,124,0.03980738362760834
Universiti Teknologi Mara,Malaysia,227,0.03974808141474808
West Minster International College,Malaysia,101,0.039607843137254906
John F. Kennedy University,USA,111,0.03952991452991453
University of Detroit Mercy,USA,230,0.03926033642158415
Boston Architectural Center,USA,106,0.039128829826504244
Gettysburg College,USA,103,0.038838612368024134
Linfield College,USA,238,0.03878829503829504
University of Geneva,Switzerland,104,0.03869047619047619
State University of New York at Stony Brook,USA,233,0.03864490772385509
Lindsey Wilson College,USA,234,0.038491561181434604
University of Warsaw,Poland,121,0.038363982244768544
Clark Atlanta University,USA,239,0.03820952096159247
Saint Peter's University,USA,236,0.03814524083511425
Milligan College,USA,105,0.038098693759071114
Temple University Japan,Japan,237,0.03800357374918778
Husson College,USA,106,0.03795202291442892
Rider University,USA,110,0.03787878787878788
St. Vincent College,USA,241,0.03785044152284024
Renmin University of China,China,239,0.037673862619833604
University of Alaska - Southeast,USA,108,0.03767003836763167
Hokkaido University,Japan,241,0.037508544087491456
Northwestern College Iowa,USA,107,0.0373864430468204
Lawrence University,USA,107,0.0373864430468204
American Graduate School in Paris,France,108,0.037241379310344824
IT University of Copenhagen,Denmark,245,0.03713882437286693
Westfälische Wilhelms-Universität Münster,Germany,243,0.037063827542816674
Universidad de Deusto,Spain,133,0.03684210526315789
University of Zagreb,Croatia,115,0.03681177976952625
Centennial College,Canada,109,0.036725067385444746
Saxion Universities ,Netherlands,114,0.03671497584541063
University of Delhi,India,109,0.0367003367003367
St. Michael's College,USA,248,0.036663216011042096
University of Ghana,Ghana,120,0.036630036630036625
University of Hawaii - West Oahu,USA,253,0.03635850407578761
Napier University,United Kingdom,255,0.036101763359806166
University of North Carolina at Pembroke,USA,111,0.03603896103896104
Oslo School of Architecture,Norway,111,0.03603896103896104
Deutsche Sporthochschule Köln,Germany,251,0.035864589738334354
Bellarmine College,USA,114,0.0357927786499215
Coastal Carolina University,USA,254,0.035749358666025334
Emerson College,USA,28,0.03571428571428571
Rose-Hulman Institute of Technology,USA,28,0.03571428571428571
Coppin State College,USA,253,0.03564977118848181
Butler University,USA,118,0.03511904761904762
University of Italian Studies for Foreigners of Siena,Italy,123,0.03504273504273504
Asia Europe University,Cambodia,258,0.03490608200828392
Texas A&M International University,USA,129,0.03488372093023256
Cleveland Institute of Art,USA,115,0.03478523895946763
Albertus Magnus College,USA,120,0.034722222222222224
Stockholm School of Economics,Sweden,116,0.03464755077658303
Webster University,Netherlands,29,0.034482758620689655
East Stroudsburg State University,USA,29,0.034482758620689655
Art Center College of Design,USA,29,0.034482758620689655
New Jersey City University,USA,29,0.034482758620689655
Long Island University,USA,262,0.03439525893837522
State University of New York College at Oneonta,USA,133,0.034366925064599485
University of Ontario Institute of Technology,Canada,267,0.034319378436306024
University of Connecticut Health Center,USA,134,0.03424482494249936
University of Lahore,Pakistan,268,0.03358860240882713
Olivet Nazarene University,USA,137,0.033479960899315736
Berea College,USA,270,0.033352829079965514
University of the Arts,USA,30,0.03333333333333333
University of West Alabama,USA,30,0.03333333333333333
Laboratory Institute of Merchandising,USA,30,0.03333333333333333
Elmira College,USA,30,0.03333333333333333
Governors State University,USA,125,0.033121356650768416
Cedar Crest College,USA,275,0.032733364500545425
Theologische Fakultät Trier,Germany,278,0.03237999703339443
Northern Kentucky University,USA,135,0.03232758620689655
Clarkson College,USA,31,0.03225806451612903
Universitat Internacional de Catalunya,Spain,31,0.03225806451612903
Universität Potsdam,Germany,31,0.03225806451612903
Piedmont College,USA,31,0.03225806451612903
Université de Technologie de Compiègne,France,31,0.03225806451612903
Tougaloo College,USA,31,0.03225806451612903
Universität Kassel,Germany,125,0.03200204813108039
Bard College,USA,134,0.031656035908339236
Bob Jones University,USA,285,0.03164411832148589
University of Zimbabwe,Zimbabwe,32,0.03125
Fachhochschule Dortmund,Germany,32,0.03125
Institut Supérieure d'Electronique de Paris,France,32,0.03125
