University,Country,rank,inv_rank
Lesley University,USA,3444,1.909297662634925
University of Melbourne,Australia,2113,1.893974688630468
Rochester Institute of Technology,USA,2470,1.8816410801714794
University of Connecticut,USA,4652,1.8661251349110146
Temple University,USA,4984,1.8627343066339195
Bellevue University,USA,1782,1.8584062890422683
University of Kentucky,USA,2385,1.8399732079733415
Franklin University,USA,1763,1.8267112254458426
University of New Mexico,USA,4736,1.8203980274080152
Old Dominion University,USA,2623,1.7984458363832507
Boston College,USA,2300,1.7833913462133724
Texas A&M University,USA,4013,1.7700741240549018
Ball State University,USA,4014,1.7064042414094247
Ferris State University,USA,2507,1.6910892897698726
University of Massachusetts at Lowell,USA,3438,1.6910246491745993
University of St. Michael's College,Canada,3852,1.6750517652783334
St. Petersburg College,USA,2015,1.6452614376089953
The Tulane University of New Orleans,USA,2927,1.644092469082818
University of Missouri - Kansas City,USA,2686,1.6223056146663513
"California State University, Northridge",USA,2876,1.6192735491452281
Middlebury College,USA,148,1.6028272802466352
"University of California, Santa Cruz",USA,3409,1.5974846151368516
University of Toledo,USA,2214,1.5795922983303494
Emory University,USA,3090,1.5701326779682359
University of New Hampshire,USA,2982,1.5558095449830245
University of Notre Dame,USA,2260,1.5507661030490492
University of Delaware,USA,2303,1.5425951328628165
San Diego State University,USA,3724,1.5392402050405944
Louisiana State University and Agricultural and Mechanical College,USA,3677,1.5381082815401432
University of Southern Mississippi,USA,2509,1.5353478105909548
University of Tennessee - Knoxville,USA,2349,1.505211204136956
Boise State University,USA,1411,1.4893891601715779
Regis University,USA,1983,1.4892074728856357
University of Wisconsin - Milwaukee,USA,2949,1.4889576869331582
University of Bath,United Kingdom,1064,1.4877832591568012
Seton Hall University,USA,1427,1.4663842829594385
University of Wolverhampton,United Kingdom,551,1.444608466110176
Virginia Polytechnic Institute and State University (Virginia Tech),USA,2181,1.4217275652751131
San Francisco State University,USA,1955,1.41998556403384
Freie Universität Berlin,Germany,2344,1.4113718681129037
University of Mississippi,USA,871,1.396246522141714
University of Wisconsin - Stout,USA,1393,1.3891198803663727
Webster University North Florida,USA,1918,1.3854309456473621
Fordham University,USA,840,1.3837564374314104
Georgia State University,USA,4091,1.383380982089031
"Concordia College, St. Paul",USA,585,1.3494432871922553
University of York,United Kingdom,2028,1.3492889384787141
Northcentral University,USA,419,1.347399468595121
State University of New York at Albany,USA,3499,1.3451709362330957
"University of California, Riverside",USA,3275,1.3128575939129385
City University,United Kingdom,1001,1.3103497720158022
Indiana State University,USA,923,1.3060799604725906
University of Salford,United Kingdom,1045,1.2834733176472048
University of South Dakota,USA,314,1.2762091503267972
Iowa State University of Science and Technology,USA,3380,1.2669842942289087
Aarhus University,Denmark,3164,1.2637467287811721
Eastern Kentucky University,USA,1923,1.231672786304538
New Jersey Institute of Technology,USA,2248,1.2253402514337566
University of Vermont,USA,1145,1.2108798103982126
University of Sussex,United Kingdom,2016,1.2093120933494252
"Swiss Federal Institute of Technology, Zurich",Switzerland,2992,1.2009761920674702
University of Victoria,Canada,1190,1.2003499696807225
St. Louis University,USA,1905,1.1968191285524226
Royal Melbourne Institute of Technology,Australia,1902,1.1951040169925427
San Jose State University,USA,2846,1.1865551646976193
National University,USA,2353,1.1822648759026118
Baylor University,USA,2449,1.1770063462766784
The New School,USA,1611,1.151449883027139
Texas Tech University,USA,3286,1.1511258741534929
University of Louisville,USA,2995,1.1397240376103182
University College Dublin,Ireland,1442,1.1336832221928295
University of Alabama - Birmingham,USA,3824,1.1256950586967645
University of North Carolina at Greensboro,USA,2437,1.1223055970905336
Villanova University,USA,1906,1.121431850506575
University of Wisconsin - La Crosse,USA,271,1.1182938106169216
Strayer University,USA,1667,1.1177084640868715
Salve Regina University,USA,608,1.1084096793895846
"King's College London, University of London",United Kingdom,2697,1.107781524839
Claremont Graduate University,USA,1728,1.060417820775379
Concordia University,Canada,2008,1.0595003901832079
Utah State University,USA,1976,1.0472015951740778
University of Alabama - Tuscaloosa,USA,2472,1.0318321278130351
Northern Illinois University,USA,2690,1.021032188473422
The Catholic University of America,USA,831,1.0171398421770306
Oklahoma State University,USA,2659,1.0029064078749288
University of San Francisco,USA,2568,1.0021022859343158
Massey University,New Zealand,1789,0.9922165563452104
University of Illinois,USA,1194,0.9817200221081216
Montana State University,USA,2022,0.972859020599422
University of Durham,United Kingdom,1585,0.9644382330329213
Pace University,USA,1528,0.9584930981846407
Brigham Young University,USA,2608,0.9536824688352213
University of Illinois at Springfield,USA,676,0.9441538813210641
University of Canterbury,New Zealand,1616,0.9326485089605673
York University,Canada,2812,0.9293359908397749
Southern Illinois University at Carbondale,USA,2690,0.9287164903072304
University of Arkansas at Fayetteville,USA,2938,0.9266481990724093
University of North Carolina at Charlotte,USA,2947,0.9240799447048657
University of Wyoming,USA,2335,0.917395808826842
"University of Wales, Bangor",United Kingdom,1700,0.9010342568414365
Indiana University of Pennsylvania,USA,1461,0.9010261357035805
Antioch New England Graduate School,USA,432,0.8829544726920454
Faulkner University,USA,801,0.878189484728394
University of Oklahoma,USA,2247,0.8769861109315026
Lehigh Univervsity,USA,1611,0.8675852426137519
"Birkbeck College, University of London",United Kingdom,1953,0.8672839174011543
"University of California, San Francisco",USA,1668,0.8671526822084121
University of Akron,USA,2545,0.8608535803137565
Adelphi University,USA,1594,0.8588474121997469
Australian National University,Australia,1823,0.8558255668551394
University of Central Lancashire,United Kingdom,886,0.8472968303367898
Creighton University,USA,433,0.8448175188704665
Cardiff University,United Kingdom,1675,0.8437166108471112
Lewis University,USA,1491,0.8406156548721834
"University of California, San Diego",USA,1133,0.8390938117196961
University College Cork,Ireland,2459,0.8303338538317725
Tufts University,USA,1972,0.8220386660451746
East Carolina University,USA,2040,0.8155490913281687
Dartmouth College,USA,1562,0.81185380515678
Carleton University,Canada,2065,0.7967221044977332
Universidad Politécnica de Cataluna,Spain,1967,0.792654196498051
University of Missouri - Saint Louis,USA,1414,0.7818738726385202
Sheffield Hallam University,United Kingdom,707,0.7799299910566588
Baker College of Auburn Hills,USA,1689,0.7648069272531676
Macquarie University,Australia,1384,0.7483905484508083
Plymouth State College,USA,737,0.7458591022357329
University of Stirling,United Kingdom,1327,0.7457608463510511
Academy of Art College,USA,654,0.7385245497143841
University of Otago,New Zealand,2189,0.7370816139655283
University of Waterloo,Canada,1619,0.7227334491408794
American InterContinental University - London,United Kingdom,1382,0.7139075505952672
University of New Orleans,USA,988,0.7119164746296245
Simmons College,USA,673,0.7040349665647172
Bowling Green State University,USA,1261,0.6975840304909865
Lund University,Sweden,2519,0.6969227339563256
"California State University, Fullerton",USA,1572,0.6896337767670706
Southern Cross University,Australia,427,0.6892680223637189
"California State University, Los Angeles",USA,1257,0.6886069182998957
University of Oslo,Norway,1897,0.6882636147658618
West Virginia University,USA,1666,0.6871604871554444
Western Michigan University,USA,1478,0.6780054514695742
State University of New York at Binghamton,USA,1758,0.6686600727923634
University of Greenwich,United Kingdom,718,0.6626330249666965
University of West Florida,USA,1434,0.6570163079775657
Marist College,USA,1023,0.6457924031519356
Appalachian State University,USA,1337,0.6453762148972906
University of Nebraska Medical Center,USA,544,0.6441723291589938
Towson University,USA,572,0.6438576352817681
California Polytechnic State University - San Luis Obispo,USA,1426,0.6419885499696628
Wilkes University,USA,975,0.6380287737761685
Sam Houston State University,USA,1349,0.6358682180220763
Brandman University,USA,747,0.6346849072292426
"School of Oriental and African Studies, University of London",United Kingdom,1063,0.6338398332112811
"University of Dublin, Trinity College",Ireland,1542,0.6298198823531378
University of Texas at El Paso,USA,2479,0.6295529147194505
Southern Illinois University at Edwardsville,USA,1360,0.6216282816760473
Wake Forest University,USA,928,0.6190070162390866
Savannah College of Art and Design,USA,520,0.6149437949862484
University of Leeds,United Kingdom,1784,0.6149242907261625
St. Joseph's University,USA,584,0.6147514603932132
Southern Methodist University,USA,1912,0.6102495020482659
University of Newcastle,Australia,1535,0.6062221290906251
University of Queensland,Australia,2028,0.6042888886232088
Grantham University,USA,682,0.6024122512263199
National-Louis University,USA,1102,0.5989670176466687
Brunel University Uxbridge,United Kingdom,1493,0.5979802461635667
Brescia College,Canada,1849,0.597697252209694
Southwestern Assemblies of God University,USA,1009,0.5960934322870385
Dallas Baptist University,USA,1278,0.5915670837387489
"California State University, Sacramento",USA,1649,0.5914969350263839
University of Mississippi Medical Center,USA,555,0.5895776629525012
"Concordia University, Portland",USA,837,0.587488694862964
Universidad Carlos III de Madrid,Spain,1559,0.583582818142623
Columbia Southern University,USA,51,0.5833333333333334
University of Lincoln,United Kingdom,825,0.5801524692505582
Howard University,USA,412,0.5741358270779265
University of Northern Iowa,USA,863,0.5732604545376208
La Trobe University,Australia,1646,0.5718716143615662
Atlantic International University,USA,449,0.5710156521775792
Hofstra University,USA,392,0.5681272397610947
University of Newcastle-upon-Tyne,United Kingdom,1596,0.5677037783810577
James Madison University,USA,1439,0.5667739418035068
"City University of New York, Hunter College",USA,820,0.5640744982618303
